buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol,priceToVol,priceToVol5M,score,highHolder,lowLP,mutable,unlockedLP,singleHolder,highOwnership,result
75,371,37,282,5510.33,45102.47,2.92,7.02,42043.94,111273.0,1,0,0,1,100,2,1.3156028368794326,1.0727460366464228,0.40533166176880286,0.3778449399225329,113.32598382749327,299.92722371967653,4.756928109021181e-05,0.008225713580653122,0.00015564557772556578,0.000529913816413899,400,0,400,0,0,0,0,Failure
5,91,6,32,6025.52,54166.02,13.46,17311.0,103878.16,1387044.0,0,0,0,0,0,1,2.84375,0.5214380000569898,0.03905140716516563,0.07489175541655492,1141.5182417582419,15242.241758241758,9.626662620901256e-06,0.0016800200568548326,0.3195915077386155,0.0022338321007979393,3222,1100,100,0,0,2022,0,Success
37,89,50,88,12876.75,18975.86,-22.14,116.0,21685.08,606189.0,0,0,0,0,0,3,1.0113636363636365,0.8750652522379442,0.031303537345613336,0.03577280353157184,243.65258426966295,6811.112359550561,0.00013834396737295873,0.00469016951010389,0.006113029923281475,-0.001719377948628342,400,0,400,0,0,0,0,Success
66,253,0,17,14165.83,69879.6,14.83,113.0,421866.09,314495.0,0,0,0,0,0,1,14.882352941176471,0.16564403173528358,0.22219621933576053,1.341407939712873,1667.454901185771,1243.0632411067193,2.370420433649929e-06,0.003620512996639935,0.0016170670696455045,0.001046885357229333,11499,0,400,100,10999,0,0,Success
17,29,11,44,613.63,1737.45,30.67,41.39,1614.56,488767.0,0,0,0,0,0,4,0.6590909090909091,1.0761136160935487,0.0035547612666157902,0.003303332671804766,55.67448275862069,16854.03448275862,0.0024774551580616392,0.016691127802238914,0.02382226826671271,0.04998125906490882,400,0,400,0,0,0,0,Failure
28,129,1,20,6768.36,39204.95,8.12,49.62,358273.96,228741.0,0,0,0,0,0,1,6.45,0.10942729412988875,0.17139450295312164,1.5662865861389084,2777.317519379845,1773.1860465116279,2.7911601501822795e-06,0.003290400829487093,0.0012656565051096865,0.0011996997795625528,11499,0,400,100,10999,0,0,Failure
20,105,2,12,8325.54,25818.51,10.59,38.37,338363.35,199328.0,0,0,0,0,0,1,8.75,0.07630409735569765,0.12952776328463636,1.6975204186065178,3222.508095238095,1898.3619047619047,2.955402823621412e-06,0.004066849713635683,0.0014861430810685823,0.001271989564640852,11499,0,400,100,10999,0,0,Success
58,346,60,296,17535.22,86658.17,-6.23,88.36,14403.05,104398.0,1,1,1,1,0,1,1.1689189189189189,6.01665411145556,0.8300750014368091,0.13796289200942546,41.62731213872832,301.728323699422,6.942973884003736e-05,0.003992699130387822,0.0010196384253210054,-0.0003552849636331908,13198,1800,400,0,10998,0,0,Failure
23,123,1,13,42406.5,137600.07,12.36,49.73,1478719.14,906870.0,0,0,0,0,0,1,9.461538461538462,0.09305355309054836,0.1517307552350392,1.6305745476198352,12022.106829268292,7372.926829268293,6.762609429671682e-07,0.0008938948940941672,0.0003614096998642515,0.0002914647518658696,11499,0,400,100,10999,0,0,Success
1014,3408,1021,3437,65582.58,291053.92,-68.19,816.0,10471.4,2167101.0,0,0,0,0,0,1,0.991562409077684,27.795129591076645,0.13430565534324426,0.00483198521896303,3.072593896713615,635.8864436619718,9.549821418339477e-05,0.011709170589422058,0.002803604225636267,-0.0010397578137365136,1700,1200,400,100,0,0,0,Failure
3,54,1,25,193.39,1468.53,16.8,343.0,2465.85,3594.0,0,0,0,0,0,1,2.16,0.595547174402336,0.4086060100166945,0.6861018363939899,45.663888888888884,66.55555555555556,0.0004055396719184054,0.03677146534289392,0.2335669002335669,0.0868710895082476,3275,0,500,0,0,2775,0,Success
304,1854,440,1692,89391.65,402675.3,-67.76,-76.68,18897.18,21585.0,1,0,1,1,30,3,1.0957446808510638,21.308750829488844,18.655330090340513,0.8754774148714385,10.192653721682849,11.642394822006473,0.00015875384581191479,0.004604205919757185,-0.0001904263807588894,-0.0007580126331709954,400,0,400,0,0,0,0,Failure
78,539,39,367,5552.32,82706.38,27.42,84.72,52010.88,170852.0,1,1,1,1,500,2,1.4686648501362398,1.590174594238744,0.4840820125020486,0.30442066818064756,96.49513914656771,316.9795918367347,3.845349280765871e-05,0.006517030487853536,0.0010243466102615058,0.004938476168520547,400,0,400,0,0,0,0,Success
465,1708,252,921,27938.86,215527.12,129.0,2050.0,21540.09,9442764.0,0,0,0,0,0,1,1.8545059717698154,10.005859771245152,0.022824579752284396,0.002281121290334059,12.611293911007026,5528.550351288056,4.642506136232485e-05,0.007924756754509595,0.009511564020342313,0.004617224897508345,500,0,400,100,0,0,0,Failure
29,80,24,92,3951.93,14306.66,10.91,17.63,12985.87,6129916.0,1,0,0,1,0,16,0.8695652173913043,1.1017097814778678,0.0023339080013494475,0.0021184417535248445,162.323375,76623.95,0.0012321084378636162,0.005591801300932573,0.0012322932116930157,0.0027606764289853313,0,0,0,0,0,0,0,Success
114,351,94,343,43236.03,113667.1,-16.02,29.73,42875.89,1614688.0,1,0,1,1,0,4,1.0233236151603498,2.6510726657802324,0.07039570492875404,0.026553668572504407,122.15353276353277,4600.250712250712,9.329252407355276e-05,0.0030879647672897434,0.00026155325507556715,-0.00037052430576997933,400,0,400,0,0,0,0,Failure
219,486,93,269,23644.0,66569.62,20.86,490.0,8963.69,22827.0,1,0,1,1,0,1,1.8066914498141264,7.426586595475746,2.9162667017128836,0.3926792833048583,18.44380658436214,46.96913580246913,0.00011156119856889293,0.007300627523485939,0.007360714992815041,0.0008822534258162748,1500,1100,400,0,0,0,0,Success
735,2223,462,1295,147313.22,484938.86,17.04,60.37,78150.14,373424.0,1,1,1,1,500,2,1.7166023166023165,6.205220617647006,1.2986279939157632,0.20927990702258023,35.15525865946918,167.98200629779578,2.5591764774829578e-05,0.004584083032652817,0.0001244899202344807,0.00011567189964349431,400,0,400,0,0,0,0,Failure
7,374,10,393,444.83,210471.8,13.79,-91.77,10699.37,7144.0,0,0,0,0,0,3,0.9516539440203562,19.671419906031847,29.461338185890256,1.4976721724524078,28.60794117647059,19.101604278074866,0.0002803903407396884,0.0017769601438292447,-0.0004360204074845181,0.031000606973450532,400,0,400,0,0,0,0,Success
0,55,4,105,235.7,18744.32,-5.46,-95.11,8550.03,4622.0,0,0,0,0,0,2,0.5238095238095238,2.19231043633765,4.055456512332324,1.8498550411077457,155.45509090909093,84.03636363636363,0.00023391730789248691,0.002934222207047255,-0.005074070438404807,-0.02316504030547306,400,0,400,0,0,0,0,Failure
12,76,1,9,1206.6,4624.6,1.01,4.67,345372.73,177277.0,0,0,0,0,0,1,8.444444444444445,0.013390171250636958,0.026086858419309897,1.9482094687974185,4544.37802631579,2332.592105263158,2.8954225772254805e-06,0.016433853738701723,0.0010098170652596981,0.0008370628211503399,11499,0,400,100,10999,0,0,Success
1229,4143,167,783,2854288.55,28512031.06,7.36,662.0,25280049.2,194731510.0,1,0,1,1,0,12,5.291187739463601,1.127847134886114,0.14641714152989416,0.12982002347745364,6101.870432054067,47002.53680907555,4.746826204752798e-07,0.000145307080764663,2.3218268758437584e-05,2.578576016780084e-06,13904,1200,300,100,10995,0,1309,Failure
49,124,51,145,18410.46,48141.82,45.44,3.33,6611.68,6147363.0,1,0,1,1,10,8,0.8551724137931035,7.281329404931878,0.007831296118351885,0.0010755310854426525,53.32,49575.50806451613,0.001209979914333422,0.0025757231446588433,6.917062961059636e-05,0.0024681621208812814,400,0,400,0,0,0,0,Success
19,406,22,345,3181.2,104461.72,-28.42,-84.79,12937.34,10413.0,1,0,1,1,0,2,1.1768115942028985,8.074435703166184,10.031856333429367,1.2424219725343322,31.86536945812808,25.647783251231527,0.00015459128383423485,0.0038865911838326995,-0.0008116848928009227,-0.008933735697221175,400,0,400,0,0,0,0,Failure
21,115,4,16,6241.34,25934.85,6.37,30.02,387306.45,222912.0,0,0,0,0,0,1,7.1875,0.06696209164603377,0.11634568798449611,1.7374858688630492,3367.8821739130435,1938.3652173913044,2.5819347960768532e-06,0.004434187974867794,0.0011575158522220102,0.001020614162984231,11399,0,400,0,10999,0,0,Success
1,444,7,397,225.21,154358.44,-6.36,-91.32,12936.13,10522.0,0,0,0,0,0,2,1.1183879093198992,11.932350710761256,14.670066527276184,1.229436418931762,29.135427927927925,23.6981981981982,0.00015460574375798637,0.002876421917713084,-0.0005916100214539612,-0.028240309044891436,400,0,400,0,0,0,0,Success
89,914,217,828,19275.59,245458.63,-77.71,-83.16,14816.6,12962.0,1,1,1,1,0,2,1.103864734299517,16.566461266417395,18.93678676130227,1.143079771640179,16.210722100656454,14.181619256017505,0.00013498373445999757,0.0037236417395469044,-0.000338794362210854,-0.004031523808090958,400,0,400,0,0,0,0,Failure
1,526,7,703,63.96,111369.81,-2.75,-94.53,9111.78,5164.0,0,0,0,0,0,2,0.748221906116643,12.222618412648242,21.56657823392719,1.764481022463207,17.32277566539924,9.817490494296578,0.00021949608089747555,0.004723003478231668,-0.0008487937619719384,-0.04299562226391495,400,0,400,0,0,0,0,Failure
