buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol,priceToVol,priceToVol5M,score,highHolder,lowLP,mutable,unlockedLP,singleHolder,highOwnership,result
20,107,3,19,18938.34,62368.03,8.25,31.16,965503.74,554086.0,0,0,0,0,0,1,5.631578947368421,0.0645963629307122,0.11256019823637485,1.7425160354168847,9023.399439252336,5178.373831775701,1.0357287689015063e-06,0.0017156225713719033,0.0004996149469527897,0.00043562424161779756,11499,0,400,100,10999,0,0,RSuccess
35,135,2,15,20810.22,70811.46,7.27,24.54,1189588.75,675227.0,0,0,0,0,0,1,9.0,0.0595260000567423,0.10487059907260818,1.7617612299271208,8811.768518518518,5001.681481481482,8.406266451326141e-07,0.0019064710712079654,0.00034655407472180345,0.0003493475801793541,11499,0,400,100,10999,0,0,RSuccess
19,101,5,15,5249.41,26172.69,6.2,37.43,331595.66,196345.0,0,0,0,0,0,1,6.733333333333333,0.07892953122486585,0.13329949833201762,1.6888418854567215,3283.125346534653,1944.009900990099,3.015721013960195e-06,0.0038589843076886634,0.001430116659770165,0.001181085112422158,0,0,0,0,0,0,0,RSuccess
155,403,73,150,70606.46,437022.11,14.65,1395603.0,637666.26,2531535495.0,1,0,0,1,10,1,2.6866666666666665,0.6853461401580193,0.00017263123936565622,0.00025188912470690045,1582.29841191067,6281725.794044665,1.5682184596061268e-06,0.000922150140183983,3.193437970449596,0.0002074880966982341,0,0,0,0,0,0,0,RSuccess
20,105,11,25,5189.1,25049.05,6.43,34.46,328408.51,193472.0,0,0,0,0,0,1,4.2,0.07627405879342164,0.1294711896295071,1.697447227505789,3127.7000952380954,1842.5904761904762,3.044988085113872e-06,0.004191775736005957,0.0013757008748834787,0.0012391358809812876,11399,0,400,0,10999,0,0,RSuccess
2,35,4,13,5836.39,57319.91,7.0,15584.0,107754.76,1816556.0,0,0,0,0,0,1,2.6923076923076925,0.5319478230010443,0.03155416623544774,0.059318160298939306,3078.7074285714284,51901.6,9.280332488328127e-06,0.0006106080766700436,0.27187760762359886,0.001199371529318637,6900,2500,100,100,0,4200,0,RSuccess
3,59,4,20,3899.84,48804.8,-0.63,15751.0,81768.59,1042406.0,0,0,0,0,0,1,2.95,0.5968648841810774,0.04681937747864076,0.0784421712845091,1385.9083050847457,17667.898305084746,1.2229634875690042e-05,0.00120889748549323,0.322734649050913,-0.0001615450890292935,2200,2100,100,0,0,0,0,Success
166,467,116,411,71003.13,178423.58,9.69,46780.0,43607.31,22711383.0,0,0,0,0,0,1,1.1362530413625305,4.091597945390348,0.007856130117659501,0.001920064048939688,93.3775374732334,48632.51177730193,2.29319350356626e-05,0.0026173670542873314,0.26218507665858964,0.00013647285690081547,600,0,500,100,0,0,0,Success
27,213,26,174,2777.62,32777.77,2.93,-25.43,27398.73,57564.0,0,0,0,0,0,2,1.2241379310344827,1.1963244281760503,0.5694143909387811,0.47596987700646237,128.6325352112676,270.2535211267606,7.299608412506712e-05,0.0064983066267168274,-0.0007758306925699949,0.0010548599160432313,400,0,400,0,0,0,0,2x
930,1818,1012,1433,534358.43,718252.96,11.04,104.0,46527.62,155176.0,0,0,0,0,0,2,1.2686671318911376,15.437130891285648,4.628634324895602,0.29983773263906793,25.592750275027505,85.35533553355336,4.298522039167273e-05,0.0025311416746545677,0.00014479578336857812,2.0660289760938173e-05,400,0,400,0,0,0,0,2x
84,261,2,13,10921.74,51288.2,15.31,108.0,319255.75,235079.0,0,0,0,0,0,1,20.076923076923077,0.16064926003682,0.21817431586828256,1.3580785608242336,1223.2021072796936,900.6858237547892,3.132285009745322e-06,0.005088889842107931,0.0021057475208722475,0.0014017912896662986,11499,0,400,100,10999,0,0,RSuccess
