buysM5,buysH1,sellsM5,sellsH1,volM5,volH1,priceM5,priceH1,liquidity,marketCap,paidProfile,paidAd,websites,socials,boosts,pools,dayOfWeek,time,result,buysToSells,volToLiquidity,volToMC,liquidityToMC,liquidityToBuys,MCToBuys,poolsToLiquidity,buysToVol
17,103,4,9,6703.32,36664.38,6.75,39.14,408218.01,248237.0,0,0,0,0,0,1,5,962,Failure,11.444444444444445,0.0898156845162221,0.14769909401096531,1.6444688342189118,3963.281650485437,2410.0679611650485,2.449671439043074e-06,0.002809266105140739
16,66,34,120,3500.4,10509.49,-12.06,-36.52,3010.33,2113643.0,1,0,1,1,1500,6,5,963,Failure,0.55,3.491142167137822,0.004972216216267364,0.001424237678737611,45.611060606060605,32024.89393939394,0.0019931369650503434,0.006280038327264216
4,44,10,42,196.86,1574.52,-6.8,-10.62,5189.94,23478442.0,1,0,0,1,100,20,5,963,Failure,1.0476190476190477,0.3033792298176858,6.70623715151116e-05,0.00022105129463019732,117.9531818181818,533600.9545454546,0.003853609097600358,0.02794502451540787
1,372,7,341,247.18,111601.2,-6.07,-94.9,9492.07,5232.0,0,0,0,0,0,2,5,965,Failure,1.0909090909090908,11.757308995824935,21.330504587155964,1.8142335626911315,25.516317204301075,14.064516129032258,0.00021070219667575145,0.0033332974914248234
8,64,10,27,3660.92,13233.7,-4.88,191.0,43128.68,8757941.0,1,0,1,1,0,7,5,966,Success,2.3703703703703702,0.306842221927497,0.0015110515131353363,0.0049245227845220695,673.885625,136842.828125,0.00016230499055384955,0.004836138041515222
74,412,70,288,63604.79,342937.0,-96.61,379.0,8182.15,601111.0,0,0,0,0,0,1,5,966,Failure,1.4305555555555556,41.9128224244239,0.5705052810545806,0.013611712312700981,19.859587378640775,1459.0072815533981,0.000122217265633116,0.0012013868436476672
2290,6112,2306,6399,199481.59,775879.16,-84.5,1360.0,22129.09,8744429.0,0,0,0,0,0,1,5,967,Failure,0.9551492420690733,35.06150320686481,0.08872839610224979,0.002530650085900406,3.6205971858638746,1430.6984620418848,4.518938645918111e-05,0.007877515359479432
1,60,2,82,8.17,24056.21,-0.15,-94.5,9120.72,4893.0,0,0,0,0,0,2,5,975,Failure,0.7317073170731707,2.637534098185231,4.9164541181279375,1.8640343347639483,152.012,81.55,0.00021928093396135395,0.002494158473009672
4,82,4,20,7162.65,60094.07,-3.52,15902.0,106553.5,1363154.0,0,0,0,0,0,1,5,976,Failure,4.1,0.563980254050782,0.04408457885169247,0.07816688356561327,1299.4329268292684,16623.829268292684,9.38495685266087e-06,0.001364527315257562
8,141,13,165,836.0,45930.89,-0.31,-27.12,35622.69,74750.0,0,0,0,0,0,2,5,978,Failure,0.8545454545454545,1.2893717459293499,0.6144600668896321,0.4765577257525084,252.64319148936173,530.1418439716313,5.61439913717914e-05,0.003069829476415545
